Short	Familly	Species	Isolate	Genome_File	RAST_file	Type	Source	Genome_Folder
seq158	Methylobacteriaceae	Methylobacterium_trifolii	NA	A6_Meth_trifolii_st147.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.879416.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq144	Methylobacteriaceae	Microvirga_ossetica	NA	M_Micr_ossetica_st192.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.688605.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq149	Methylobacteriaceae	Microvirga_sp_001	NA	M_Micr_sp_001_st6.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.688674.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq113	Methylocystaceae	Methylocystis_borbori	NA	GCA_036576025.1_ASM3657602v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425179.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq108	Methylocystaceae	Methylocystis_bryophila	NA	GCA_027925445.1_ASM2792544v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425174.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq167	Methylocystaceae	Methylocystis_echinoides	NA	GCA_027923385.1_ASM2792338v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1151960.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq91	Methylocystaceae	Methylocystis_heyeri	NA	GCA_004802635.2_ASM480263v2_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425157.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq90	Methylocystaceae	Methylocystis_hirsuta	NA	GCA_003722355.1_ASM372235v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425156.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq107	Methylocystaceae	Methylocystis_iwaonis	NA	GCA_027925385.1_ASM2792538v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425173.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq106	Methylocystaceae	Methylocystis_parvus	NA	GCA_027571405.1_ASM2757140v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425172.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq83	Methylocystaceae	Methylocystis_rosea	NA	GCA_000372845.1_ASM37284v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425149.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq93	Methylocystaceae	Methylocystis_silviterrae	NA	GCA_013350005.1_ASM1335000v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425159.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq104	Methylocystaceae	Methylocystis_suflitae	NA	GCA_024448135.1_ASM2444813v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425170.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq88	Methylocystaceae	Methylosinus_sporium	NA	GCA_003113265.1_ASM311326v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425154.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq82	Methylocystaceae	Methylosinus_trichosporium	NA	GCA_000178815.2_ASM17881v2_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425148.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq168	RH_AL1	NA	NA	Beijerinckiaceae_bacterium_RH_AL1_isolate_RH_AL1_genome_assembly.fasta	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1151969.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq169	RH_AL1	NA	NA	Beijerinckiaceae_bacterium_RH_AL8_isolate_RH_AL8_genome_assembly.fasta	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1151970.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq170	Rhabdaerophilaceae	Rhabdaerophilum_calidifontis	NA	GCA_008641065.1_ASM864106v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425205.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq162	Rhodoblastaceae	Rhodoblastus_acidophilus	NA	GCF_900187365.1_IMG-taxon_2724679731_annotated_assembly_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1151872.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq102	Rhodoblastaceae	Rhodoblastus_alkanivorans	NA	GCA_022760755.1_ASM2276075v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425168.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq163	Rhodoblastaceae	Rhodoblastus_sphagnicola	NA	GCF_014197735.1_ASM1419773v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1151873.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq1	Roseiarcaceae	Roseiarcus_fermantans	DSM_24875	GCA_003315135.1_ASM331513v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391979.txt	Genomics	Peat	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Roseiarcaceae/
seq164	Methylobacteriaceae	Salinarimonas_ramus	NA	GCF_014645695.1_ASM1464569v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1151885.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq165	Methylobacteriaceae	Salinarimonas_rosea	NA	GCF_000429045.1_ASM42904v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1151886.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq166	Methylobacteriaceae	Salinarimonas_soli	NA	GCF_008386575.1_ASM838657v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1151887.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq30	JAJXWB01	NA	abba_bin.24.orig	abba_bin.24.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1414574.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq48	JAJXWB01	NA	thoc_bin.53.orig	thoc_bin.53.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1415155.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq71	JAJXWB01	NA	NA	GCA_964244905.1_public_SRR12240177_metawrap_bin.1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425135.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Beijerinckiaceae/
seq10	Lichenihabitantaceae	Lichenibacterium_sp	SMAG_U5832	GCA_036276175.1_ASM3627617v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391988.txt	Metagenomics	Soil	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq11	Lichenihabitantaceae	Lichenibacterium_sp	GL61_DN_concoct_141_sub	GCA_043758995.1_ASM4375899v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391989.txt	Metagenomics	Sediment	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq12	Lichenihabitantaceae	Lichenibacterium_sp	private_X16_metawrap_bin.2	GCA_964236485.1_private_X16_metawrap_bin.2_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391990.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq13	Lichenihabitantaceae	Lichenibacterium_sp	private_T1889_metawrap_bin.7	GCA_964242265.1_private_T1889_metawrap_bin.7_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391991.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq14	Lichenihabitantaceae	Lichenibacterium_sp	public_SRR11456913_metawrap_bin.13	GCA_964242785.1_public_SRR11456913_metawrap_bin.13_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391992.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq17	Lichenihabitantaceae	Lichenibacterium_sp	private_GTX0163_metawrap_bin.14	GCA_964243135.1_private_GTX0163_metawrap_bin.14_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391996.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq19	Lichenihabitantaceae	Lichenibacterium_sp	public_SRR11456919_metawrap_bin.3	GCA_964244255.1_public_SRR11456919_metawrap_bin.3_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391998.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq21	Lichenihabitantaceae	Lichenibacterium_sp	private_T1916_metawrap_bin.6	GCA_964245215.1_private_T1916_metawrap_bin.6_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1392000.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq25	Lichenihabitantaceae	Lichenibacterium_sp	public_SRR14722163_metawrap_bin.2	GCA_964249275.1_public_SRR14722163_metawrap_bin.2_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1392004.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq27	Lichenihabitantaceae	Lichenibacterium_sp	public_SRR14722130_metawrap_bin.2	GCA_964252585.1_public_SRR14722130_metawrap_bin.2_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1392006.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq29	Lichenihabitantaceae	Lichenibacterium_sp	abba_bin.18.orig	abba_bin.18.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1414571.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq31	Lichenihabitantaceae	Lichenibacterium_sp	abba_bin.37.orig	abba_bin.37.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1414578.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq42	Lichenihabitantaceae	Lichenibacterium_sp	abba_bin.66.orig	abba_bin.66.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1414781.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq50	Lichenihabitantaceae	Lichenibacterium_sp	NA	GCA_964657515.1_Boreal_Moss_Metagenome_Coassembled_MAG_Green_AP_13_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425230.txt	Metagenomics	Moss	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Moss-Metagenomes/
seq15	Lichenihabitantaceae	Lichenihabitans_sp	private_GTX0158_metawrap_bin.6	GCA_964243035.1_private_GTX0158_metawrap_bin.6_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391994.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq16	Lichenihabitantaceae	Lichenihabitans_sp	private_GTX0163_metawrap_bin.18	GCA_964243125.1_private_GTX0163_metawrap_bin.18_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391995.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq18	Lichenihabitantaceae	Lichenihabitans_sp	private_T1916_metawrap_bin.13	GCA_964243405.1_private_T1916_metawrap_bin.13_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391997.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq20	Lichenihabitantaceae	Lichenihabitans_sp	public_SRR12240183_metawrap_bin.1	GCA_964245085.1_public_SRR12240183_metawrap_bin.1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391999.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq22	Lichenihabitantaceae	Lichenihabitans_sp	public_SRR11456919_metawrap_bin.13	GCA_964245915.1_public_SRR11456919_metawrap_bin.13_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1392001.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq23	Lichenihabitantaceae	Lichenibacterium_sp	public_SRR14721964_metawrap_bin.1	GCA_964246815.1_public_SRR14721964_metawrap_bin.1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1392002.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq24	Lichenihabitantaceae	Lichenihabitans_sp	private_T1888_metawrap_bin.15	GCA_964247575.1_private_T1888_metawrap_bin.15_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1392003.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq26	Lichenihabitantaceae	Lichenihabitans_sp	public_SRR11456913_metawrap_bin.5	GCA_964252065.1_public_SRR11456913_metawrap_bin.5_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1392005.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq32	Lichenihabitantaceae	Lichenifustis_sp	abba_bin.40.orig	abba_bin.40.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1414582.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq33	Lichenihabitantaceae	Lichenihabitans_sp	abba_bin.42.orig	abba_bin.42.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1414587.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq34	Lichenihabitantaceae	Lichenifustis_sp	coco_bin.22.orig	coco_bin.22.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1414594.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq43	Lichenihabitantaceae	Lichenifustis_sp	acsa_bin.4.orig	acsa_bin.4.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1415128.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq49	Lichenihabitantaceae	Lichenifustis_sp	thoc_bin.9.orig	thoc_bin.9.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1415159.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq36	Lichenihabitantaceae	Lichenifustis_sp	thoc_bin.22.orig	thoc_bin.22.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1414601.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq40	Lichenihabitantaceae	Lichenifustis_sp	abba_bin.11.orig	abba_bin.11.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1414769.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq51	Methylobacteriaceae	Enterovirga_sp	NA	GCA_964241925.1_public_ERR4179390_metawrap_bin.5_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425115.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Enterovirga/
seq52	Methylobacteriaceae	Enterovirga_sp	NA	GCA_964242715.1_private_T1887_metawrap_bin.11_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425116.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Enterovirga/
seq53	Methylobacteriaceae	Enterovirga_sp	NA	GCA_964244795.1_public_SRR11456921_metawrap_bin.21_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425117.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Enterovirga/
seq54	Methylobacteriaceae	Enterovirga_sp	NA	GCA_964245795.1_public_SRR14722230_metawrap_bin.3_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425118.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Enterovirga/
seq55	Methylobacteriaceae	Enterovirga_sp	NA	GCA_964250725.1_public_SRR11456913_metawrap_bin.7_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425119.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Enterovirga/
seq56	Methylobacteriaceae	Enterovirga_sp	NA	GCA_964251455.1_private_T1887_metawrap_bin.13_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425120.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Enterovirga/
seq57	Methylobacteriaceae	Methylobacterium_sp	NA	GCA_964242245.1_public_SRR11456913_metawrap_bin.15_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425121.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Methylobacterium/
seq58	Methylobacteriaceae	Methylobacterium_sp	NA	GCA_964242725.1_private_T1888_metawrap_bin.14_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425122.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Methylobacterium/
seq59	Methylobacteriaceae	Methylobacterium_sp	NA	GCA_964244095.1_public_SRR11456914_metawrap_bin.24_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425123.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Methylobacterium/
seq60	Methylobacteriaceae	Methylobacterium_sp	NA	GCA_964245765.1_public_SRR14722230_metawrap_bin.1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425124.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Methylobacterium/
seq61	Methylobacteriaceae	Methylobacterium_sp	NA	GCA_964249385.1_public_SRR14722169_metawrap_bin.2_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425125.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Methylobacterium/
seq62	Methylobacteriaceae	Methylobacterium_sp	NA	GCA_964251405.1_private_T1887_metawrap_bin.8_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425126.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Methylobacterium/
